,,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy
Rk,,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,FantPt,DKPt,FDPt,VBD,PosRank,OvRank
312,Dennis Dixon\DixoDe00,PIT,QB,24,1,1,12,26,145,1,1,3,27,9.00,1,0,0,0,,0,17,17.5,17.5,,53,
313,Keith Null\NullKe00,STL,QB,24,4,4,73,119,566,3,9,5,6,1.20,0,0,0,0,,0,17,27.7,23.2,,50,
314,Chad Pennington\PennCh01,MIA,QB,33,3,3,51,74,413,1,2,3,7,2.33,0,0,0,0,,0,17,20.7,16.2,,51,
315,Lousaka Polite\PoliLo00,MIA,RB,28,16,9,0,0,0,0,0,37,123,3.32,0,23,11,51,4.64,0,17,30.9,21.9,,97,
316,Martellus Bennett\BennMa00,DAL,TE,22,14,6,0,0,0,0,0,0,0,,0,30,15,159,10.60,0,16,33.9,23.4,,55,
317,Derek Hagan\HagaDe00,NYG,WR,25,16,0,0,0,0,0,0,0,0,,0,8,8,101,12.63,1,16,27.1,20.1,,112,
318,Greg Lewis\LewiGr01,MIN,WR,29,13,1,0,0,0,0,0,0,0,,0,11,8,96,12.00,1,16,23.6,19.6,,113,
319,Evan Moore\MoorEv00,CLE,TE,24,5,0,0,0,0,0,0,0,0,,0,23,12,158,13.17,0,16,30.8,21.8,,56,
320,Reggie Brown\BrowRe01,PHI,WR,28,14,2,0,0,0,0,0,1,-3,-3.00,0,24,9,155,17.22,0,15,27.2,19.7,,114,
321,Daniel Coats\CoatDa00,CIN,TE,25,16,11,0,0,0,0,0,0,0,,0,31,16,150,9.38,0,15,33.0,21.0,,57,
322,Danny Ware\WareDa00,NYG,RB,24,8,0,0,0,0,0,0,13,73,5.62,1,4,3,15,5.00,0,15,17.3,15.3,,98,
